Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Profit Ratio,Profit Ratio (copy),Quantity,Sales
Office Supplies,Troy,United States,Ted Butterfield,Array,6/17/2018,CA-2018-111682,12180,"Array Parchment Paper, Assorted Colors",East,Consumer,6/18/2018,First Class,New York,Paper,0%,1,$7,48%,48%,2,$15
Technology,Troy,United States,Ted Butterfield,Imation,6/17/2018,CA-2018-111682,12180,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Consumer,6/18/2018,First Class,New York,Accessories,0%,1,$3,11%,11%,2,$30
Office Supplies,Troy,United States,Ted Butterfield,Other,6/17/2018,CA-2018-111682,12180,Plastic Binding Combs,East,Consumer,6/18/2018,First Class,New York,Binders,20%,1,$16,34%,34%,4,$48
Office Supplies,Troy,United States,Ted Butterfield,Prang,6/17/2018,CA-2018-111682,12180,Prang Dustless Chalk Sticks,East,Consumer,6/18/2018,First Class,New York,Art,0%,1,$1,50%,50%,1,$2
Technology,Los Angeles,United States,Kunst Miller,Verbatim,11/24/2017,CA-2017-135545,90004,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,Consumer,11/30/2017,Standard Class,California,Accessories,0%,1,$6,44%,44%,2,$14
Office Supplies,Los Angeles,United States,Kunst Miller,Acco,11/24/2017,CA-2017-135545,90004,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,Consumer,11/30/2017,Standard Class,California,Binders,20%,1,$9,36%,36%,6,$26
Office Supplies,Los Angeles,United States,Kunst Miller,Xerox,11/24/2017,CA-2017-135545,90004,Xerox 1943,West,Consumer,11/30/2017,Standard Class,California,Paper,0%,1,$69,47%,47%,3,$147
Furniture,Los Angeles,United States,Kunst Miller,Luxo,11/24/2017,CA-2017-135545,90004,Luxo Economy Swing Arm Lamp,West,Consumer,11/30/2017,Standard Class,California,Furnishings,0%,1,$22,28%,28%,4,$80
Furniture,Chicago,United States,Paul Stevenson,Global,4/30/2017,US-2017-164175,60610,"Global Value Mid-Back Manager's Chair, Gray",Central,Home Office,5/5/2017,Standard Class,Illinois,Chairs,30%,1,-$15,-7%,-7%,5,$213
Office Supplies,Gilbert,United States,Brendan Sweed,Hunt,12/5/2016,CA-2016-106376,85234,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,Corporate,12/10/2016,Standard Class,Arizona,Art,20%,1,$111,10%,10%,8,"$1,113"
Technology,Gilbert,United States,Brendan Sweed,Other,12/5/2016,CA-2016-106376,85234,netTALK DUO VoIP Telephone Service,West,Corporate,12/10/2016,Standard Class,Arizona,Phones,20%,1,$63,38%,38%,4,$168
Office Supplies,Springfield,United States,Karen Daniels,Other,6/4/2018,CA-2018-119823,22153,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,Consumer,6/6/2018,First Class,Virginia,Paper,0%,1,$36,47%,47%,2,$76
Office Supplies,New York City,United States,Henry MacAllister,Avery,9/18/2018,CA-2018-106075,10009,Avery Binding System Hidden Tab Executive Style Index Sets,East,Consumer,9/23/2018,Standard Class,New York,Binders,20%,1,$2,38%,38%,1,$5
Office Supplies,Jackson,United States,Tracy Blumstein,Other,9/14/2019,CA-2019-114440,49201,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,Consumer,9/17/2019,Second Class,Michigan,Paper,0%,1,$9,46%,46%,3,$19
Furniture,Memphis,United States,Joel Eaton,Other,4/26/2017,US-2017-134026,38109,High-Back Leather Manager's Chair,South,Consumer,5/2/2017,Standard Class,Tennessee,Chairs,20%,1,-$114,-14%,-14%,8,$832
Furniture,Memphis,United States,Joel Eaton,Tenex,4/26/2017,US-2017-134026,38109,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,Consumer,5/2/2017,Standard Class,Tennessee,Furnishings,20%,1,$1,1%,1%,2,$97
Office Supplies,Memphis,United States,Joel Eaton,SAFCO,4/26/2017,US-2017-134026,38109,Safco Industrial Wire Shelving System,South,Consumer,5/2/2017,Standard Class,Tennessee,Storage,20%,1,-$18,-25%,-25%,1,$73
Office Supplies,Houston,United States,Ken Brennan,Other,12/9/2019,US-2019-118038,77041,Economy Binders,Central,Corporate,12/11/2019,First Class,Texas,Binders,80%,1,-$2,-155%,-155%,3,$1
Furniture,Houston,United States,Ken Brennan,Other,12/9/2019,US-2019-118038,77041,"6"" Cubicle Wall Clock, Black",Central,Corporate,12/11/2019,First Class,Texas,Furnishings,60%,1,-$6,-60%,-60%,3,$10
Office Supplies,Houston,United States,Ken Brennan,Other,12/9/2019,US-2019-118038,77041,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,Corporate,12/11/2019,First Class,Texas,Storage,20%,1,$3,10%,10%,3,$27
Furniture,Houston,United States,Joel Eaton,Eldon,11/26/2016,US-2016-147606,77070,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,Consumer,12/1/2016,Second Class,Texas,Furnishings,60%,1,-$14,-75%,-75%,5,$19
Office Supplies,Decatur,United States,Stewart Carmichael,Other,6/12/2018,CA-2018-127208,35601,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,Corporate,6/15/2018,First Class,Alabama,Appliances,0%,1,$56,27%,27%,1,$208
Office Supplies,Decatur,United States,Stewart Carmichael,Avery,6/12/2018,CA-2018-127208,35601,Avery Heavy-Duty EZD  Binder With Locking Rings,South,Corporate,6/15/2018,First Class,Alabama,Binders,0%,1,$8,48%,48%,3,$17
Office Supplies,San Francisco,United States,Duane Noonan,Other,10/12/2016,CA-2016-139451,94122,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,Consumer,10/16/2016,Standard Class,California,Art,0%,1,$4,28%,28%,5,$15
Office Supplies,San Francisco,United States,Duane Noonan,Other,10/12/2016,CA-2016-139451,94122,"Sortfiler Multipurpose Personal File Organizer, Black",West,Consumer,10/16/2016,Standard Class,California,Storage,0%,1,$6,29%,29%,1,$21
Office Supplies,Durham,United States,Julie Creighton,Other,9/3/2017,CA-2017-149734,27707,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,Corporate,9/8/2017,Standard Class,North Carolina,Envelopes,20%,1,$63,31%,31%,7,$201
Office Supplies,Chicago,United States,Christopher Schild,SAFCO,11/13/2019,US-2019-119662,60623,Safco Industrial Wire Shelving,Central,Home Office,11/16/2019,First Class,Illinois,Storage,20%,1,-$49,-21%,-21%,3,$230
Furniture,Columbia,United States,Patrick O'Donnell,Novimex,5/28/2019,CA-2019-140088,29203,Novimex Swivel Fabric Task Chair,South,Consumer,5/30/2019,Second Class,South Carolina,Chairs,0%,1,$33,11%,11%,2,$302
Technology,Rochester,United States,Paul Gonzalez,Logitech,10/26/2019,CA-2019-155558,55901,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,Consumer,11/2/2019,Standard Class,Minnesota,Accessories,0%,1,$7,34%,34%,1,$20
Office Supplies,Rochester,United States,Paul Gonzalez,Avery,10/26/2019,CA-2019-155558,55901,Avery 511,Central,Consumer,11/2/2019,Standard Class,Minnesota,Labels,0%,1,$3,48%,48%,2,$6
Office Supplies,Houston,United States,Gary Mitchum,Eldon,4/5/2018,CA-2018-159695,77095,Eldon Portable Mobile Manager,Central,Home Office,4/10/2018,Second Class,Texas,Storage,20%,1,$14,9%,9%,7,$158
Office Supplies,Los Angeles,United States,Jim Sink,Other,9/17/2018,CA-2018-109806,90036,Turquoise Lead Holder with Pocket Clip,West,Corporate,9/22/2018,Standard Class,California,Art,0%,1,$7,33%,33%,3,$20
Technology,Los Angeles,United States,Jim Sink,Panasonic,9/17/2018,CA-2018-109806,90036,Panasonic Kx-TS550,West,Corporate,9/22/2018,Standard Class,California,Phones,20%,1,$8,11%,11%,2,$74
Office Supplies,Los Angeles,United States,Jim Sink,Xerox,9/17/2018,CA-2018-109806,90036,Xerox 1995,West,Corporate,9/22/2018,Standard Class,California,Paper,0%,1,$3,48%,48%,1,$6
Office Supplies,Minneapolis,United States,Karl Braun,Xerox,1/31/2017,CA-2017-149587,55407,Xerox 1999,Central,Consumer,2/5/2017,Second Class,Minnesota,Paper,0%,1,$6,48%,48%,2,$13
Furniture,Minneapolis,United States,Karl Braun,Seth Thomas,1/31/2017,CA-2017-149587,55407,"Seth Thomas 13 1/2"" Wall Clock",Central,Consumer,2/5/2017,Second Class,Minnesota,Furnishings,0%,1,$17,31%,31%,3,$53
Office Supplies,Minneapolis,United States,Karl Braun,Ibico,1/31/2017,CA-2017-149587,55407,Ibico Standard Transparent Covers,Central,Consumer,2/5/2017,Second Class,Minnesota,Binders,0%,1,$16,49%,49%,2,$33
Office Supplies,Portland,United States,Roger Barcio,Other,11/6/2019,US-2019-109484,97206,Flexible Leather- Look Classic Collection Ring Binder,West,Home Office,11/12/2019,Standard Class,Oregon,Binders,70%,1,-$4,-67%,-67%,1,$6
Furniture,New York City,United States,Parhena Norris,Other,11/9/2019,CA-2019-161018,10009,9-3/4 Diameter Round Wall Clock,East,Home Office,11/11/2019,Second Class,New York,Furnishings,0%,1,$41,42%,42%,7,$97
Office Supplies,San Francisco,United States,Katherine Ducich,Other,6/17/2019,CA-2019-157833,94122,Trimflex Flexible Post Binders,West,Consumer,6/20/2019,First Class,California,Binders,20%,1,$18,35%,35%,3,$51
Office Supplies,Saint Paul,United States,Elpida Rittenbach,Fellowes,9/6/2018,CA-2018-149223,55106,Fellowes Basic Home/Office Series Surge Protectors,Central,Corporate,9/11/2018,Standard Class,Minnesota,Appliances,0%,1,$23,29%,29%,6,$78
Office Supplies,Chicago,United States,Rick Bensley,Avery,8/29/2018,CA-2018-158568,60610,Avery Personal Creations Heavyweight Cards,Central,Home Office,9/2/2018,Standard Class,Illinois,Paper,20%,1,$23,35%,35%,7,$65
Technology,Chicago,United States,Rick Bensley,SanDisk,8/29/2018,CA-2018-158568,60610,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Central,Home Office,9/2/2018,Standard Class,Illinois,Accessories,20%,1,-$11,-11%,-11%,3,$96
Office Supplies,Chicago,United States,Rick Bensley,Avery,8/29/2018,CA-2018-158568,60610,Avery Hidden Tab Dividers for Binding Systems,Central,Home Office,9/2/2018,Standard Class,Illinois,Binders,80%,1,-$3,-170%,-170%,3,$2
Office Supplies,Rochester,United States,Gary Zandusky,Universal,12/1/2018,CA-2018-129903,55901,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Central,Consumer,12/4/2018,Second Class,Minnesota,Paper,0%,1,$12,49%,49%,4,$24
Technology,Aurora,United States,Lena Cacioppo,Logitech,11/13/2017,US-2017-156867,80013,Logitech K350 2.4Ghz Wireless Keyboard,West,Consumer,11/17/2017,Standard Class,Colorado,Accessories,20%,1,-$27,-11%,-11%,6,$239
Furniture,Aurora,United States,Lena Cacioppo,Deflect-o,11/13/2017,US-2017-156867,80013,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",West,Consumer,11/17/2017,Standard Class,Colorado,Furnishings,20%,1,-$4,-4%,-4%,3,$102
Office Supplies,Aurora,United States,Lena Cacioppo,Avery,11/13/2017,US-2017-156867,80013,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,Consumer,11/17/2017,Standard Class,Colorado,Binders,70%,1,-$26,-70%,-70%,3,$37
Technology,Charlotte,United States,Janet Martin,Memorex,11/23/2019,CA-2019-119004,28205,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,South,Consumer,11/28/2019,Standard Class,North Carolina,Accessories,20%,1,$18,24%,24%,8,$74
Technology,Charlotte,United States,Janet Martin,Other,11/23/2019,CA-2019-119004,28205,Speck Products Candyshell Flip Case,South,Consumer,11/28/2019,Standard Class,North Carolina,Phones,20%,1,$2,8%,8%,1,$28
Office Supplies,Charlotte,United States,Janet Martin,Newell,11/23/2019,CA-2019-119004,28205,Newell Chalk Holder,South,Consumer,11/28/2019,Standard Class,North Carolina,Art,20%,1,$1,33%,33%,1,$3
Technology,Orland Park,United States,Pete Armstrong,Logitech,10/15/2017,CA-2017-129476,60462,Logitech Gaming G510s - Keyboard,Central,Home Office,10/20/2017,Standard Class,Illinois,Accessories,20%,1,$68,20%,20%,5,$340
Furniture,New York City,United States,Cynthia Voltz,Other,12/25/2019,CA-2019-146780,10035,Magnifier Swing Arm Lamp,East,Corporate,12/30/2019,Standard Class,New York,Furnishings,0%,1,$11,26%,26%,2,$42
Office Supplies,Urbandale,United States,Clay Ludtke,Hunt,11/3/2018,CA-2018-128867,50322,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Central,Consumer,11/10/2018,Standard Class,Iowa,Art,0%,1,$23,30%,30%,2,$76
Office Supplies,Urbandale,United States,Clay Ludtke,Avery,11/3/2018,CA-2018-128867,50322,"Avery Durable Plastic 1"" Binders",Central,Consumer,11/10/2018,Standard Class,Iowa,Binders,0%,1,$13,49%,49%,6,$27
Office Supplies,Columbus,United States,Ryan Crowe,Other,8/25/2016,CA-2016-115259,43229,"OIC Colored Binder Clips, Assorted Sizes",East,Consumer,8/27/2016,Second Class,Ohio,Fasteners,20%,1,$15,36%,36%,14,$40
Office Supplies,Columbus,United States,Ryan Crowe,Other,8/25/2016,CA-2016-115259,43229,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",East,Consumer,8/27/2016,Second Class,Ohio,Envelopes,20%,1,$2,35%,35%,2,$5
Office Supplies,Columbus,United States,Ryan Crowe,Xerox,8/25/2016,CA-2016-115259,43229,Xerox 1921,East,Consumer,8/27/2016,Second Class,Ohio,Paper,20%,1,$7,31%,31%,3,$24
